Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,Jagiellonian5_99816,Tick,0,0,0,0,,,0,0,0,OK
4e-06,FiscalFuries_21347,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Lzxssx_522213,Tick,0,0,0,0,,,0,0,0,OK
4e-06,revitpo_711911,Tick,0,0,0,0,,,0,0,0,OK
4e-06,theMoneyMakers_420698,Tick,0,0,0,0,,,0,0,0,OK
4e-06,HIMS_1453,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Globetrotters_20813,Tick,0,0,0,0,,,0,0,0,OK
0.285846,Jagiellonian5_99816,Tick,0,0,0,0,126400,,0,0,0,OK
0.285846,FiscalFuries_21347,Tick,0,0,0,0,126400,,0,0,0,OK
0.285846,Lzxssx_522213,Tick,0,1,-1,1,126400,,-13,13,13,OK
0.285846,revitpo_711911,Tick,0,0,0,0,126400,,0,0,0,OK
0.285846,theMoneyMakers_420698,Tick,0,0,0,0,126400,,0,0,0,OK
0.285846,HIMS_1453,Tick,0,0,0,0,126400,,0,0,0,OK
0.285846,Globetrotters_20813,Tick,0,0,0,0,126400,,0,0,0,OK
0.548736,Jagiellonian5_99816,Tick,0,0,0,0,126600,,0,0,0,OK
0.548736,FiscalFuries_21347,Tick,0,0,0,0,126600,,0,0,0,OK
0.548736,Lzxssx_522213,Tick,10,11,-1,1,126600,,113,-1113,-1113,OK
0.548736,revitpo_711911,Tick,0,0,0,0,126600,,0,0,0,OK
0.548736,theMoneyMakers_420698,Tick,0,10,-10,10,126600,,-126,-874,-874,OK
0.548736,HIMS_1453,Tick,0,10,-10,10,126600,,-127,127,127,OK
0.548736,Globetrotters_20813,Tick,0,0,0,0,126600,,0,0,0,OK
0.730602,Jagiellonian5_99816,Tick,0,0,0,0,126600,,0,0,0,OK
0.730602,FiscalFuries_21347,Tick,0,0,0,0,126600,,0,0,0,OK
0.730602,Lzxssx_522213,Tick,10,11,-1,1,126600,,113,-1113,-1113,OK
0.730602,revitpo_711911,Tick,0,0,0,0,126600,,0,0,0,OK
0.730602,theMoneyMakers_420698,Tick,0,10,-10,10,126600,,-126,-874,-874,OK
0.730602,HIMS_1453,Tick,0,10,-10,10,126600,,-127,127,127,OK
0.730602,Globetrotters_20813,Tick,0,0,0,0,126600,,0,0,0,OK
1.017221,Jagiellonian5_99816,Tick,0,0,0,0,126600,,0,0,0,OK
1.017221,FiscalFuries_21347,Tick,0,0,0,0,126600,,0,0,0,OK
1.017221,Lzxssx_522213,Tick,10,11,-1,1,126600,,113,-1113,-1113,OK
1.017221,revitpo_711911,Tick,0,0,0,0,126600,,0,0,0,OK
1.017221,theMoneyMakers_420698,Tick,0,10,-10,10,126600,,-126,-874,-874,OK
1.017221,HIMS_1453,Tick,0,10,-10,10,126600,,-127,127,127,OK
1.017221,Globetrotters_20813,Tick,0,0,0,0,126600,,0,0,0,OK
1.214228,Jagiellonian5_99816,Tick,0,0,0,0,126600,126700,0,0,0,OK
1.214228,FiscalFuries_21347,Tick,0,0,0,0,126600,126700,0,0,0,OK
1.214228,Lzxssx_522213,Tick,10,11,-1,1,126600,126700,113,-1113,-1013,OK
1.214228,revitpo_711911,Tick,0,0,0,0,126600,126700,0,0,0,OK
1.214228,theMoneyMakers_420698,Tick,0,10,-10,10,126600,126700,-126,-874,126,OK
1.214228,HIMS_1453,Tick,0,10,-10,10,126600,126700,-127,127,1127,OK
1.214228,Globetrotters_20813,Tick,0,0,0,0,126600,126700,0,0,0,OK
1.497778,Jagiellonian5_99816,Tick,0,0,0,0,126800,126800,0,0,0,OK
1.497778,FiscalFuries_21347,Tick,0,0,0,0,126800,126800,0,0,0,OK
1.497778,Lzxssx_522213,Tick,20,21,-1,1,126800,126800,240,-3240,-3240,OK
1.497778,revitpo_711911,Tick,0,0,0,0,126800,126800,0,0,0,OK
1.497778,theMoneyMakers_420698,Tick,0,20,-20,20,126800,126800,-253,-747,-747,OK
1.497778,HIMS_1453,Tick,10,10,0,0,126800,126800,126,-126,-126,OK
1.497778,Globetrotters_20813,Tick,0,0,0,0,126800,126800,0,0,0,OK
1.781532,Jagiellonian5_99816,Tick,10,0,10,-10,127300,126800,255,-2255,285,OK
1.781532,FiscalFuries_21347,Tick,0,0,0,0,127300,126800,0,0,0,OK
1.781532,Lzxssx_522213,Tick,22,31,-9,9,127300,126800,164,-6164,-8450,OK
1.781532,revitpo_711911,Tick,0,2,-2,2,127300,126800,-25,-175,-683,OK
1.781532,theMoneyMakers_420698,Tick,0,20,-20,20,127300,126800,-253,-747,-5827,OK
1.781532,HIMS_1453,Tick,20,20,0,0,127300,126800,253,2747,2747,OK
1.781532,Globetrotters_20813,Tick,0,0,0,0,127300,126800,0,0,0,OK
2.003101,Jagiellonian5_99816,Tick,10,0,10,-10,127300,126800,255,-2255,285,OK
2.003101,FiscalFuries_21347,Tick,0,0,0,0,127300,126800,0,0,0,OK
2.003101,Lzxssx_522213,Tick,22,33,-11,11,127300,126800,139,-5939,-8733,OK
2.003101,revitpo_711911,Tick,2,2,0,0,127300,126800,26,-826,-826,OK
2.003101,theMoneyMakers_420698,Tick,0,20,-20,20,127300,126800,-253,-747,-5827,OK
2.003101,HIMS_1453,Tick,20,20,0,0,127300,126800,253,2747,2747,OK
2.003101,Globetrotters_20813,Tick,0,0,0,0,127300,126800,0,0,0,OK
2.284426,Jagiellonian5_99816,Tick,10,0,10,-10,127300,126800,255,-2255,285,OK
2.284426,FiscalFuries_21347,Tick,0,0,0,0,127300,126800,0,0,0,OK
2.284426,Lzxssx_522213,Tick,32,33,-1,1,127300,126800,394,-8194,-8448,OK
2.284426,revitpo_711911,Tick,2,2,0,0,127300,126800,26,-826,-826,OK
2.284426,theMoneyMakers_420698,Tick,0,20,-20,20,127300,126800,-253,-747,-5827,OK
2.284426,HIMS_1453,Tick,20,30,-10,10,127300,126800,126,2874,334,OK
2.284426,Globetrotters_20813,Tick,0,0,0,0,127300,126800,0,0,0,OK
2.539152,Jagiellonian5_99816,Tick,10,0,10,-10,127300,126800,255,-2255,285,OK
2.539152,FiscalFuries_21347,Tick,0,0,0,0,127300,126800,0,0,0,OK
2.539152,Lzxssx_522213,Tick,32,33,-1,1,127300,126800,394,-8194,-8448,OK
2.539152,revitpo_711911,Tick,2,2,0,0,127300,126800,26,-826,-826,OK
2.539152,theMoneyMakers_420698,Tick,0,20,-20,20,127300,126800,-253,-747,-5827,OK
2.539152,HIMS_1453,Tick,20,30,-10,10,127300,126800,126,2874,334,OK
2.539152,Globetrotters_20813,Tick,0,0,0,0,127300,126800,0,0,0,OK
2.751135,Jagiellonian5_99816,Tick,10,0,10,-10,127400,126800,255,-2255,285,OK
2.751135,FiscalFuries_21347,Tick,0,0,0,0,127400,126800,0,0,0,OK
2.751135,Lzxssx_522213,Tick,32,33,-1,1,127400,126800,394,-8194,-8448,OK
2.751135,revitpo_711911,Tick,2,2,0,0,127400,126800,26,-826,-826,OK
2.751135,theMoneyMakers_420698,Tick,0,30,-30,30,127400,126800,-380,-620,-8240,OK
2.751135,HIMS_1453,Tick,20,30,-10,10,127400,126800,126,2874,334,OK
2.751135,Globetrotters_20813,Tick,0,0,0,0,127400,126800,0,0,0,OK
3.027906,Jagiellonian5_99816,Tick,10,0,10,-10,127400,127300,255,-2255,-1255,OK
3.027906,FiscalFuries_21347,Tick,0,0,0,0,127400,127300,0,0,0,OK
3.027906,Lzxssx_522213,Tick,32,33,-1,1,127400,127300,394,-8194,-8294,OK
3.027906,revitpo_711911,Tick,2,2,0,0,127400,127300,26,-826,-826,OK
3.027906,theMoneyMakers_420698,Tick,0,30,-30,30,127400,127300,-380,-620,-3620,OK
