Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss
1.982486,0,Tick,0,10,-10,10,141000,140400,-141,3141,331
1.982486,1,Tick,0,0,0,0,141000,140400,0,0,0
1.982486,2,Tick,0,0,0,0,141000,140400,0,0,0
1.982486,3,Tick,0,10,-10,0,141000,140400,-140,1405140,-1670
1.982486,4,Tick,0,0,0,0,141000,140400,0,0,0
1.982486,5,Tick,0,0,0,0,141000,140400,0,0,0
1.982486,6,Tick,0,0,0,0,141000,140400,0,0,0
2.265225,0,Tick,0,10,-10,10,141000,140400,-141,3141,331
2.265225,1,Tick,0,0,0,0,141000,140400,0,0,0
2.265225,2,Tick,0,0,0,0,141000,140400,0,0,0
2.265225,3,Tick,0,10,-10,0,141000,140400,-140,1405140,-1670
2.265225,4,Tick,0,0,0,0,141000,140400,0,0,0
2.265225,5,Tick,0,0,0,0,141000,140400,0,0,0
2.265225,6,Tick,0,0,0,0,141000,140400,0,0,0
2.534206,0,Tick,0,10,-10,10,140500,140600,-141,3141,4141
2.534206,1,Tick,0,0,0,0,140500,140600,0,0,0
2.534206,2,Tick,0,0,0,0,140500,140600,0,0,0
2.534206,3,Tick,7,10,-3,0,140500,140600,-238,421738,238
2.534206,4,Tick,0,0,0,0,140500,140600,0,0,0
2.534206,5,Tick,0,10,-10,0,140500,140600,281,1404719,-281
2.534206,6,Tick,0,0,0,0,140500,140600,0,0,0
2.783421,0,Tick,0,20,-20,20,141100,140600,-282,6282,662
2.783421,1,Tick,0,0,0,0,141100,140600,0,0,0
2.783421,2,Tick,0,0,0,0,141100,140600,0,0,0
2.783421,3,Tick,7,20,-13,0,141100,140600,-379,1828879,-2574
2.783421,4,Tick,0,0,0,0,141100,140600,0,0,0
2.783421,5,Tick,0,10,-10,0,141100,140600,281,1404719,-4091
2.783421,6,Tick,0,0,0,0,141100,140600,0,0,0
2.993961,0,Tick,0,20,-20,20,141100,140600,-282,6282,662
2.993961,1,Tick,0,0,0,0,141100,140600,0,0,0
2.993961,2,Tick,0,0,0,0,141100,140600,0,0,0
2.993961,3,Tick,7,20,-13,0,141100,140600,-379,1828879,-2574
2.993961,4,Tick,0,0,0,0,141100,140600,0,0,0
2.993961,5,Tick,0,10,-10,0,141100,140600,281,1404719,-4091
