Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
5e-06,FiscalFuries_21347,Tick,0,0,0,0,,,0,0,0,OK
5e-06,QuantumLeap_102724,Tick,0,0,0,0,,,0,0,0,OK
5e-06,YLNSYHB_271950,Tick,0,0,0,0,,,0,0,0,OK
5e-06,FighttheLandlord_33669,Tick,0,0,0,0,,,0,0,0,OK
5e-06,JackedandCracked_887770,Tick,0,0,0,0,,,0,0,0,OK
5e-06,Anonymous_666,Tick,0,0,0,0,,,0,0,0,OK
5e-06,dpgobrrr_10419,Tick,0,0,0,0,,,0,0,0,OK
0.015752,QuantumLeap_102724,Disconnect,0,0,0,0,,,0,0,0,
0.215655,FiscalFuries_21347,Tick,0,0,0,0,,,0,0,0,OK
0.215655,QuantumLeap_102724,Tick,0,0,0,0,,,0,0,0,OK
0.215655,YLNSYHB_271950,Tick,0,0,0,0,,,0,0,0,OK
0.215655,FighttheLandlord_33669,Tick,0,0,0,0,,,0,0,0,OK
0.215655,JackedandCracked_887770,Tick,0,0,0,0,,,0,0,0,OK
0.215655,Anonymous_666,Tick,0,0,0,0,,,0,0,0,OK
0.215655,dpgobrrr_10419,Tick,0,0,0,0,,,0,0,0,OK
0.479087,FiscalFuries_21347,Tick,0,0,0,0,,,0,0,0,OK
0.479087,QuantumLeap_102724,Tick,0,0,0,0,,,0,0,0,OK
0.479087,YLNSYHB_271950,Tick,0,0,0,0,,,0,0,0,OK
0.479087,FighttheLandlord_33669,Tick,0,0,0,0,,,0,0,0,OK
0.479087,JackedandCracked_887770,Tick,0,0,0,0,,,0,0,0,OK
0.479087,Anonymous_666,Tick,0,0,0,0,,,0,0,0,OK
0.479087,dpgobrrr_10419,Tick,0,0,0,0,,,0,0,0,OK
0.794883,FiscalFuries_21347,Tick,0,0,0,0,,,0,0,0,OK
0.794883,QuantumLeap_102724,Tick,0,0,0,0,,,0,0,0,OK
0.794883,YLNSYHB_271950,Tick,0,0,0,0,,,0,0,0,OK
0.794883,FighttheLandlord_33669,Tick,0,0,0,0,,,0,0,0,OK
0.794883,JackedandCracked_887770,Tick,0,0,0,0,,,0,0,0,OK
0.794883,Anonymous_666,Tick,0,0,0,0,,,0,0,0,OK
0.794883,dpgobrrr_10419,Tick,0,0,0,0,,,0,0,0,OK
1.012983,FiscalFuries_21347,Tick,0,0,0,0,,140400,0,0,0,OK
1.012983,QuantumLeap_102724,Tick,0,0,0,0,,140400,0,0,0,OK
1.012983,YLNSYHB_271950,Tick,0,0,0,0,,140400,0,0,0,OK
1.012983,FighttheLandlord_33669,Tick,0,0,0,0,,140400,0,0,0,OK
1.012983,JackedandCracked_887770,Tick,0,0,0,0,,140400,0,0,0,OK
1.012983,Anonymous_666,Tick,0,0,0,0,,140400,0,0,0,OK
1.012983,dpgobrrr_10419,Tick,0,0,0,0,,140400,0,0,0,OK
1.256849,FiscalFuries_21347,Tick,0,0,0,0,,140400,0,0,0,OK
1.256849,QuantumLeap_102724,Tick,0,0,0,0,,140400,0,0,0,OK
1.256849,YLNSYHB_271950,Tick,0,0,0,0,,140400,0,0,0,OK
1.256849,FighttheLandlord_33669,Tick,0,0,0,0,,140400,0,0,0,OK
1.256849,JackedandCracked_887770,Tick,0,0,0,0,,140400,0,0,0,OK
1.256849,Anonymous_666,Tick,0,0,0,0,,140400,0,0,0,OK
1.256849,dpgobrrr_10419,Tick,0,0,0,0,,140400,0,0,0,OK
1.535904,FiscalFuries_21347,Tick,0,0,0,0,,140400,0,0,0,OK
1.535904,QuantumLeap_102724,Tick,0,0,0,0,,140400,0,0,0,OK
1.535904,YLNSYHB_271950,Tick,0,0,0,0,,140400,0,0,0,OK
1.535904,FighttheLandlord_33669,Tick,0,0,0,0,,140400,0,0,0,OK
1.535904,JackedandCracked_887770,Tick,0,0,0,0,,140400,0,0,0,OK
1.535904,Anonymous_666,Tick,0,0,0,0,,140400,0,0,0,OK
1.535904,dpgobrrr_10419,Tick,0,0,0,0,,140400,0,0,0,OK
1.742878,FiscalFuries_21347,Tick,0,0,0,0,,140400,0,0,0,OK
1.742878,QuantumLeap_102724,Tick,0,0,0,0,,140400,0,0,0,OK
1.742878,YLNSYHB_271950,Tick,0,0,0,0,,140400,0,0,0,OK
1.742878,FighttheLandlord_33669,Tick,0,0,0,0,,140400,0,0,0,OK
1.742878,JackedandCracked_887770,Tick,0,0,0,0,,140400,0,0,0,OK
1.742878,Anonymous_666,Tick,0,0,0,0,,140400,0,0,0,OK
1.742878,dpgobrrr_10419,Tick,0,0,0,0,,140400,0,0,0,OK
1.982486,FiscalFuries_21347,Tick,0,10,-10,10,141000,140400,-141,3141,331,OK
1.982486,QuantumLeap_102724,Tick,0,0,0,0,141000,140400,0,0,0,OK
1.982486,YLNSYHB_271950,Tick,0,0,0,0,141000,140400,0,0,0,OK
1.982486,FighttheLandlord_33669,Tick,0,10,-10,0,141000,140400,-140,1405140,-1670,OK
1.982486,JackedandCracked_887770,Tick,0,0,0,0,141000,140400,0,0,0,OK
1.982486,Anonymous_666,Tick,0,0,0,0,141000,140400,0,0,0,OK
1.982486,dpgobrrr_10419,Tick,0,0,0,0,141000,140400,0,0,0,OK
2.265225,FiscalFuries_21347,Tick,0,10,-10,10,141000,140400,-141,3141,331,OK
2.265225,QuantumLeap_102724,Tick,0,0,0,0,141000,140400,0,0,0,OK
2.265225,YLNSYHB_271950,Tick,0,0,0,0,141000,140400,0,0,0,OK
2.265225,FighttheLandlord_33669,Tick,0,10,-10,0,141000,140400,-140,1405140,-1670,OK
2.265225,JackedandCracked_887770,Tick,0,0,0,0,141000,140400,0,0,0,OK
2.265225,Anonymous_666,Tick,0,0,0,0,141000,140400,0,0,0,OK
2.265225,dpgobrrr_10419,Tick,0,0,0,0,141000,140400,0,0,0,OK
2.534206,FiscalFuries_21347,Tick,0,10,-10,10,140500,140600,-141,3141,4141,OK
2.534206,QuantumLeap_102724,Tick,0,0,0,0,140500,140600,0,0,0,OK
2.534206,YLNSYHB_271950,Tick,0,0,0,0,140500,140600,0,0,0,OK
2.534206,FighttheLandlord_33669,Tick,7,10,-3,0,140500,140600,-238,421738,238,OK
2.534206,JackedandCracked_887770,Tick,0,0,0,0,140500,140600,0,0,0,OK
2.534206,Anonymous_666,Tick,0,10,-10,0,140500,140600,281,1404719,-281,OK
2.534206,dpgobrrr_10419,Tick,0,0,0,0,140500,140600,0,0,0,OK
2.783421,FiscalFuries_21347,Tick,0,20,-20,20,141100,140600,-282,6282,662,OK
2.783421,QuantumLeap_102724,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.783421,YLNSYHB_271950,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.783421,FighttheLandlord_33669,Tick,7,20,-13,0,141100,140600,-379,1828879,-2574,OK
2.783421,JackedandCracked_887770,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.783421,Anonymous_666,Tick,0,10,-10,0,141100,140600,281,1404719,-4091,OK
2.783421,dpgobrrr_10419,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.993961,FiscalFuries_21347,Tick,0,20,-20,20,141100,140600,-282,6282,662,OK
2.993961,QuantumLeap_102724,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.993961,YLNSYHB_271950,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.993961,FighttheLandlord_33669,Tick,7,20,-13,0,141100,140600,-379,1828879,-2574,OK
2.993961,JackedandCracked_887770,Tick,0,0,0,0,141100,140600,0,0,0,OK
2.993961,Anonymous_666,Tick,0,10,-10,0,141100,140600,281,1404719,-4091,OK
2.993961,dpgobrrr_10419,Tick,0,0,0,0,141100,140600,0,0,0,OK
3.286224,FiscalFuries_21347,Tick,0,20,-20,20,141100,140600,-282,6282,662,OK
3.286224,QuantumLeap_102724,Tick,0,0,0,0,141100,140600,0,0,0,OK
3.286224,YLNSYHB_271950,Tick,0,0,0,0,141100,140600,0,0,0,OK
3.286224,FighttheLandlord_33669,Tick,7,20,-13,0,141100,140600,-379,1828879,-2574,OK
3.286224,JackedandCracked_887770,Tick,0,0,0,0,141100,140600,0,0,0,OK
3.286224,Anonymous_666,Tick,0,10,-10,0,141100,140600,281,1404719,-4091,OK
3.286224,dpgobrrr_10419,Tick,0,0,0,0,141100,140600,0,0,0,OK
3.479143,FiscalFuries_21347,Tick,0,30,-30,30,140600,140600,-1,7001,7001,OK
3.479143,QuantumLeap_102724,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.479143,YLNSYHB_271950,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.479143,FighttheLandlord_33669,Tick,17,20,-3,0,140600,140600,-520,423020,1220,OK
3.479143,JackedandCracked_887770,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.479143,Anonymous_666,Tick,0,10,-10,0,140600,140600,281,1404719,-1281,OK
3.479143,dpgobrrr_10419,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.776389,FiscalFuries_21347,Tick,0,30,-30,30,140600,140600,-1,7001,7001,OK
3.776389,QuantumLeap_102724,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.776389,YLNSYHB_271950,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.776389,FighttheLandlord_33669,Tick,17,20,-3,0,140600,140600,-520,423020,1220,OK
3.776389,JackedandCracked_887770,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.776389,Anonymous_666,Tick,0,10,-10,0,140600,140600,281,1404719,-1281,OK
3.776389,dpgobrrr_10419,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.975454,FiscalFuries_21347,Tick,0,30,-30,30,140600,140600,-1,7001,7001,OK
3.975454,QuantumLeap_102724,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.975454,YLNSYHB_271950,Tick,0,2,-2,0,140600,140600,-28,281228,28,OK
3.975454,FighttheLandlord_33669,Tick,19,20,-1,0,140600,140600,-464,141764,1164,OK
3.975454,JackedandCracked_887770,Tick,0,0,0,0,140600,140600,0,0,0,OK
3.975454,Anonymous_666,Tick,0,10,-10,0,140600,140600,281,1404719,-1281,OK
3.975454,dpgobrrr_10419,Tick,0,0,0,0,140600,140600,0,0,0,OK
4.297997,FiscalFuries_21347,Tick,0,50,-50,50,141200,140600,-283,12283,-1767,OK
4.297997,QuantumLeap_102724,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.297997,YLNSYHB_271950,Tick,0,2,-2,0,141200,140600,-28,281228,-534,OK
4.297997,FighttheLandlord_33669,Tick,19,30,-11,0,141200,140600,-605,1548905,-786,OK
4.297997,JackedandCracked_887770,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.297997,Anonymous_666,Tick,0,10,-10,0,141200,140600,281,1404719,-4091,OK
4.297997,dpgobrrr_10419,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.483695,FiscalFuries_21347,Tick,0,50,-50,50,141200,140600,-283,12283,-1767,OK
4.483695,QuantumLeap_102724,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.483695,YLNSYHB_271950,Tick,0,2,-2,0,141200,140600,-28,281228,-534,OK
4.483695,FighttheLandlord_33669,Tick,19,30,-11,0,141200,140600,-605,1548905,-786,OK
4.483695,JackedandCracked_887770,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.483695,Anonymous_666,Tick,0,10,-10,0,141200,140600,281,1404719,-4091,OK
4.483695,dpgobrrr_10419,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.736421,FiscalFuries_21347,Tick,0,60,-60,60,140600,140500,-2,13002,7002,OK
4.736421,QuantumLeap_102724,Tick,0,0,0,0,140600,140500,0,0,0,OK
4.736421,YLNSYHB_271950,Tick,0,2,-2,0,140600,140500,-28,281228,28,OK
