Time,Team,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss
1.214228,0,0,0,0,0,126600,126700,0,0,0
1.214228,1,0,0,0,0,126600,126700,0,0,0
1.214228,2,10,11,-1,1,126600,126700,113,-1113,-1013
1.214228,3,0,0,0,0,126600,126700,0,0,0
1.214228,4,0,10,-10,10,126600,126700,-126,-874,126
1.214228,5,0,10,-10,10,126600,126700,-127,127,1127
1.214228,6,0,0,0,0,126600,126700,0,0,0
1.497778,0,0,0,0,0,126800,126800,0,0,0
1.497778,1,0,0,0,0,126800,126800,0,0,0
1.497778,2,20,21,-1,1,126800,126800,240,-3240,-3240
1.497778,3,0,0,0,0,126800,126800,0,0,0
1.497778,4,0,20,-20,20,126800,126800,-253,-747,-747
1.497778,5,10,10,0,0,126800,126800,126,-126,-126
1.497778,6,0,0,0,0,126800,126800,0,0,0
1.781532,0,10,0,10,-10,127300,126800,255,-2255,285
1.781532,1,0,0,0,0,127300,126800,0,0,0
1.781532,2,22,31,-9,9,127300,126800,164,-6164,-8450
1.781532,3,0,2,-2,2,127300,126800,-25,-175,-683
1.781532,4,0,20,-20,20,127300,126800,-253,-747,-5827
1.781532,5,20,20,0,0,127300,126800,253,2747,2747
1.781532,6,0,0,0,0,127300,126800,0,0,0
2.003101,0,10,0,10,-10,127300,126800,255,-2255,285
2.003101,1,0,0,0,0,127300,126800,0,0,0
2.003101,2,22,33,-11,11,127300,126800,139,-5939,-8733
2.003101,3,2,2,0,0,127300,126800,26,-826,-826
2.003101,4,0,20,-20,20,127300,126800,-253,-747,-5827
2.003101,5,20,20,0,0,127300,126800,253,2747,2747
2.003101,6,0,0,0,0,127300,126800,0,0,0
2.284426,0,10,0,10,-10,127300,126800,255,-2255,285
2.284426,1,0,0,0,0,127300,126800,0,0,0
2.284426,2,32,33,-1,1,127300,126800,394,-8194,-8448
2.284426,3,2,2,0,0,127300,126800,26,-826,-826
2.284426,4,0,20,-20,20,127300,126800,-253,-747,-5827
2.284426,5,20,30,-10,10,127300,126800,126,2874,334
2.284426,6,0,0,0,0,127300,126800,0,0,0
2.539152,0,10,0,10,-10,127300,126800,255,-2255,285
2.539152,1,0,0,0,0,127300,126800,0,0,0
2.539152,2,32,33,-1,1,127300,126800,394,-8194,-8448
2.539152,3,2,2,0,0,127300,126800,26,-826,-826
2.539152,4,0,20,-20,20,127300,126800,-253,-747,-5827
2.539152,5,20,30,-10,10,127300,126800,126,2874,334
2.539152,6,0,0,0,0,127300,126800,0,0,0
2.751135,0,10,0,10,-10,127400,126800,255,-2255,285
2.751135,1,0,0,0,0,127400,126800,0,0,0
2.751135,2,32,33,-1,1,127400,126800,394,-8194,-8448
2.751135,3,2,2,0,0,127400,126800,26,-826,-826
2.751135,4,0,30,-30,30,127400,126800,-380,-620,-8240
2.751135,5,20,30,-10,10,127400,126800,126,2874,334
2.751135,6,0,0,0,0,127400,126800,0,0,0
3.027906,0,10,0,10,-10,127400,127300,255,-2255,-1255
3.027906,1,0,0,0,0,127400,127300,0,0,0
3.027906,2,32,33,-1,1,127400,127300,394,-8194,-8294
3.027906,3,2,2,0,0,127400,127300,26,-826,-826
3.027906,4,0,30,-30,30,127400,127300,-380,-620,-3620
3.027906,5,20,30,-10,10,127400,127300,126,2874,1874
3.027906,6,0,0,0,0,127400,127300,0,0,0
3.267492,0,10,0,10,-10,127400,127200,255,-2255,-255
3.267492,1,0,0,0,0,127400,127200,0,0,0
3.267492,2,32,33,-1,1,127400,127200,394,-8194,-8394
3.267492,3,2,2,0,0,127400,127200,26,-826,-826
3.267492,4,0,30,-30,30,127400,127200,-380,-620,-6620
3.267492,5,20,30,-10,10,127400,127200,126,2874,874
3.267492,6,0,0,0,0,127400,127200,0,0,0
3.456534,0,10,0,10,-10,127400,127200,255,-2255,-255
3.456534,1,0,0,0,0,127400,127200,0,0,0
3.456534,2,32,33,-1,1,127400,127200,394,-8194,-8394
3.456534,3,2,2,0,0,127400,127200,26,-826,-826
3.456534,4,0,30,-30,30,127400,127200,-380,-620,-6620
3.456534,5,20,30,-10,10,127400,127200,126,2874,874
3.456534,6,0,0,0,0,127400,127200,0,0,0
3.7898,0,10,0,10,-10,127500,127400,255,-2255,-1255
3.7898,1,0,0,0,0,127500,127400,0,0,0
3.7898,2,32,43,-11,11,127500,127400,267,-8067,-9167
3.7898,3,2,2,0,0,127500,127400,26,-826,-826
3.7898,4,0,30,-30,30,127500,127400,-380,-620,-3620
3.7898,5,23,30,-7,7,127500,127400,202,2198,1498
3.7898,6,0,0,0,0,127500,127400,0,0,0
3.99358,0,10,0,10,-10,127600,127400,255,-2255,-255
3.99358,1,0,0,0,0,127600,127400,0,0,0
3.99358,2,42,43,-1,1,127600,127400,522,-9322,-9522
3.99358,3,2,2,0,0,127600,127400,26,-826,-826
3.99358,4,0,30,-30,30,127600,127400,-380,-620,-6620
3.99358,5,23,40,-17,17,127600,127400,74,2326,-1074
3.99358,6,0,0,0,0,127600,127400,0,0,0
4.2451,0,10,0,10,-10,127600,127600,255,-2255,-2255
4.2451,1,0,0,0,0,127600,127600,0,0,0
4.2451,2,42,43,-1,1,127600,127600,522,-9322,-9322
4.2451,3,2,2,0,0,127600,127600,26,-826,-826
4.2451,4,0,30,-30,30,127600,127600,-380,-620,-620
4.2451,5,23,40,-17,17,127600,127600,74,2326,2326
4.2451,6,0,0,0,0,127600,127600,0,0,0
4.541152,0,10,0,10,-10,127700,127700,255,-2255,-2255
4.541152,1,0,0,0,0,127700,127700,0,0,0
4.541152,2,42,43,-1,1,127700,127700,522,-9322,-9322
4.541152,3,2,2,0,0,127700,127700,26,-826,-826
4.541152,4,0,40,-40,40,127700,127700,-508,-492,-492
4.541152,5,33,40,-7,7,127700,127700,329,1071,1071
4.541152,6,0,0,0,0,127700,127700,0,0,0
4.757568,0,10,0,10,-10,127700,127700,255,-2255,-2255
4.757568,1,0,0,0,0,127700,127700,0,0,0
4.757568,2,42,43,-1,1,127700,127700,522,-9322,-9322
4.757568,3,2,2,0,0,127700,127700,26,-826,-826
4.757568,4,0,40,-40,40,127700,127700,-508,-492,-492
4.757568,5,33,40,-7,7,127700,127700,329,1071,1071
4.757568,6,0,0,0,0,127700,127700,0,0,0
5.012227,0,10,0,10,-10,127700,127700,255,-2255,-2255
5.012227,1,0,0,0,0,127700,127700,0,0,0
5.012227,2,42,43,-1,1,127700,127700,522,-9322,-9322
5.012227,3,2,2,0,0,127700,127700,26,-826,-826
5.012227,4,0,40,-40,40,127700,127700,-508,-492,-492
5.012227,5,33,40,-7,7,127700,127700,329,1071,1071
5.012227,6,0,0,0,0,127700,127700,0,0,0
5.300548,0,10,0,10,-10,127700,128000,255,-2255,-4815
5.300548,1,0,0,0,0,127700,128000,0,0,0
5.300548,2,42,43,-1,1,127700,128000,522,-9322,-9066
5.300548,3,2,2,0,0,127700,128000,26,-826,-826
5.300548,4,0,40,-40,40,127700,128000,-508,-492,9748
5.300548,5,33,40,-7,7,127700,128000,329,1071,2863
5.300548,6,0,0,0,0,127700,128000,0,0,0
5.515415,0,30,0,30,-30,128100,128000,767,-767,2233
5.515415,1,0,0,0,0,128100,128000,0,0,0
5.515415,2,52,53,-1,1,128100,128000,650,-13450,-13550
5.515415,3,2,4,-2,2,128100,128000,0,-1000,-1200
5.515415,4,0,50,-50,50,128100,128000,-636,-1364,-6364
5.515415,5,35,50,-15,15,128100,128000,252,-2052,-3552
5.515415,6,0,0,0,0,128100,128000,0,0,0
5.718987,0,30,0,30,-30,128200,128000,767,-767,5233
5.718987,1,0,0,0,0,128200,128000,0,0,0
5.718987,2,52,55,-3,3,128200,128000,624,-13224,-13824
5.718987,3,4,4,0,0,128200,128000,51,-1451,-1451
5.718987,4,0,50,-50,50,128200,128000,-636,-1364,-11364
5.718987,5,35,50,-15,15,128200,128000,252,-2052,-5052
5.718987,6,0,0,0,0,128200,128000,0,0,0
6.02431,0,30,0,30,-30,128200,128000,767,-767,5233
6.02431,1,0,0,0,0,128200,128000,0,0,0
6.02431,2,52,55,-3,3,128200,128000,624,-13224,-13824
6.02431,3,4,4,0,0,128200,128000,51,-1451,-1451
6.02431,4,0,50,-50,50,128200,128000,-636,-1364,-11364
6.02431,5,35,50,-15,15,128200,128000,252,-2052,-5052
6.02431,6,0,0,0,0,128200,128000,0,0,0
6.269509,0,30,20,10,-10,128000,128000,1280,4720,4720
6.269509,1,0,0,0,0,128000,128000,0,0,0
6.269509,2,72,65,7,-7,128000,128000,240,-17840,-17840
6.269509,3,4,4,0,0,128000,128000,51,-1451,-1451
6.269509,4,0,50,-50,50,128000,128000,-636,-1364,-1364
6.269509,5,55,50,5,-5,128000,128000,380,-11180,-11180
6.269509,6,0,0,0,0,128000,128000,0,0,0
6.547782,0,30,20,10,-10,127200,127700,1280,4720,2170
6.547782,1,0,0,0,0,127200,127700,0,0,0
6.547782,2,82,75,7,-7,127200,127700,23,-17623,-19408
6.547782,3,6,4,2,-2,127200,127700,25,-825,-1335
6.547782,4,0,50,-50,50,127200,127700,-636,-1364,11386
6.547782,5,65,59,6,-6,127200,127700,866,-13566,-15096
6.547782,6,0,0,0,0,127200,127700,0,0,0
6.701628,0,30,20,10,-10,127700,127700,1280,4720,4720
6.701628,1,0,0,0,0,127700,127700,0,0,0
6.701628,2,82,85,-3,3,127700,127700,278,-17878,-17878
6.701628,3,6,4,2,-2,127700,127700,25,-825,-825
6.701628,4,0,50,-50,50,127700,127700,-636,-1364,-1364
6.701628,5,75,59,16,-16,127700,127700,738,-15438,-15438
6.701628,6,0,0,0,0,127700,127700,0,0,0
6.98059,0,30,20,10,-10,128200,127700,1280,4720,7270
6.98059,1,0,0,0,0,128200,127700,0,0,0
6.98059,2,82,95,-13,13,128200,127700,150,-16750,-20065
6.98059,3,6,6,0,0,128200,127700,-1,-199,-199
6.98059,4,0,50,-50,50,128200,127700,-636,-1364,-14114
6.98059,5,75,59,16,-16,128200,127700,738,-15438,-11358
6.98059,6,0,0,0,0,128200,127700,0,0,0
7.272,0,30,20,10,-10,127300,127600,1280,4720,2170
7.272,1,0,0,0,0,127300,127600,0,0,0
7.272,2,102,95,7,-7,127300,127600,277,-13877,-15662
7.272,3,8,6,2,-2,127300,127600,50,350,-160
7.272,4,0,50,-50,50,127300,127600,-636,-1364,11386
7.272,5,85,59,26,-26,127300,127600,610,-14310,-20940
7.272,6,0,0,0,0,127300,127600,0,0,0
7.503853,0,41,20,21,-21,127400,127600,1560,5540,1340
7.503853,1,0,0,0,0,127400,127600,0,0,0
7.503853,2,112,95,17,-17,127400,127600,532,-15132,-18532
7.503853,3,8,8,0,0,127400,127600,101,-101,-101
7.503853,4,0,50,-50,50,127400,127600,-636,-1364,8636
7.503853,5,87,69,18,-18,127400,127600,457,-15157,-18757
7.503853,6,0,0,0,0,127400,127600,0,0,0
7.768488,0,41,20,21,-21,127300,127600,1560,5540,185
7.768488,1,0,0,0,0,127300,127600,0,0,0
7.768488,2,122,105,17,-17,127300,127600,660,-13260,-17595
7.768488,3,8,8,0,0,127300,127600,101,-101,-101
7.768488,4,0,50,-50,50,127300,127600,-636,-1364,11386
7.768488,5,97,69,28,-28,127300,127600,330,-15030,-22170
7.768488,6,0,0,0,0,127300,127600,0,0,0
7.959815,0,71,20,51,-51,127200,127600,2323,16777,3772
7.959815,1,0,0,0,0,127200,127600,0,0,0
7.959815,2,125,105,20,-20,127200,127600,736,-12136,-17236
7.959815,3,8,8,0,0,127200,127600,101,-101,-101
7.959815,4,0,50,-50,50,127200,127600,-636,-1364,11386
7.959815,5,97,69,28,-28,127200,127600,330,-15030,-22170
7.959815,6,0,0,0,0,127200,127600,0,0,0
8.221947,0,71,20,51,-51,127500,127600,2323,16777,11677
8.221947,1,0,0,0,0,127500,127600,0,0,0
8.221947,2,132,105,27,-27,127500,127600,647,-12047,-14747
8.221947,3,8,8,0,0,127500,127600,101,-101,-101
8.221947,4,0,50,-50,50,127500,127600,-636,-1364,3636
8.221947,5,97,76,21,-21,127500,127600,508,-16608,-18708
8.221947,6,0,0,0,0,127500,127600,0,0,0
8.510076,0,71,20,51,-51,127400,127400,2323,16777,16777
8.510076,1,10,0,10,-10,127400,127400,255,-255,-255
8.510076,2,132,105,27,-27,127400,127400,647,-12047,-12047
8.510076,3,8,8,0,0,127400,127400,101,-101,-101
8.510076,4,0,50,-50,50,127400,127400,-636,-1364,-1364
8.510076,5,97,86,11,-11,127400,127400,381,-18481,-18481
8.510076,6,0,0,0,0,127400,127400,0,0,0
8.728047,0,71,20,51,-51,127400,127400,2323,16777,16777
8.728047,1,10,0,10,-10,127400,127400,255,-255,-255
8.728047,2,132,105,27,-27,127400,127400,647,-12047,-12047
8.728047,3,8,8,0,0,127400,127400,101,-101,-101
8.728047,4,0,50,-50,50,127400,127400,-636,-1364,-1364
8.728047,5,97,86,11,-11,127400,127400,381,-18481,-18481
8.728047,6,0,0,0,0,127400,127400,0,0,0
9.046787,0,71,20,51,-51,127500,127400,2323,16777,21877
9.046787,1,20,0,20,-20,127500,127400,510,490,2490
9.046787,2,132,115,17,-17,127500,127400,519,-13919,-12219
9.046787,3,8,8,0,0,127500,127400,101,-101,-101
9.046787,4,0,50,-50,50,127500,127400,-636,-1364,-6364
9.046787,5,97,86,11,-11,127500,127400,381,-18481,-17381
9.046787,6,0,0,0,0,127500,127400,0,0,0
9.252497,0,71,20,51,-51,127500,127800,2323,16777,3721
