Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
2e-06,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.01167,TraderOne,Disconnect,0,0,0,0,,,0,0,0,
0.219553,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.520652,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.796694,TraderOne,Tick,0,0,0,0,147600,,0,0,0,OK
1.008519,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.261761,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.482107,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.796987,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.003738,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.216316,TraderOne,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.459316,TraderOne,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.79968,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
2.992421,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.255588,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.493912,TraderOne,Tick,0,0,0,0,147500,146900,0,0,0,OK
3.719818,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.048102,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.248373,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.486517,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.719599,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
5.000484,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
5.207247,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.47118,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.783823,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.048785,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.235501,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.530344,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.789844,TraderOne,Tick,0,0,0,0,147200,146700,0,0,0,OK
7.002388,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
7.294576,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
7.547766,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
7.743013,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
7.961959,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
8.287472,TraderOne,Tick,0,0,0,0,147000,146900,0,0,0,OK
8.50318,TraderOne,Tick,0,0,0,0,147000,146900,0,0,0,OK
8.731927,TraderOne,Tick,0,0,0,0,147000,146900,0,0,0,OK
9.000465,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
9.224148,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
9.512382,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
9.797533,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
9.957555,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
10.221675,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
10.508696,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
10.753551,TraderOne,Tick,0,0,0,0,146400,147000,0,0,0,OK
